scenario,update_id,update_type,decision,changed_classes,quality_score,effective_sla,warning_ratio,pressure_score,drift_quality_total,drift_z3_total,reject_streak,defer_streak,last_reset_reason
u10,1,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.05,0,0,1,0,
u10,2,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.1,0,0,2,0,
u10,3,room_clash,DEFER,15,100.0,0.0,0.0,0.15,0,0,0,0,reject_streak
u10,4,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.2,0,0,1,0,reject_streak
u10,5,room_clash,REJECT,15,100.0,0.0,0.0,0.25,0,0,2,0,reject_streak
u10,6,teacher_absent,DEFER,15,100.0,0.0,0.0,0.225,0,0,0,0,reject_streak
u10,7,room_clash,REJECT,15,100.0,0.0,0.0,0.275,0,0,1,0,reject_streak
u10,8,room_clash,REJECT,15,100.0,0.0,0.0,0.325,0,0,2,0,reject_streak
u10,9,timeslot_shift,DEFER,15,100.0,0.0,0.0,0.2625,0,0,0,0,reject_streak
u10,10,extra_class,REJECT,15,100.0,0.0,0.0,0.3125,0,0,1,0,reject_streak
u30,1,extra_class,REJECT,15,100.0,0.0,0.0,0.05,0,0,1,0,
u30,2,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.1,0,0,2,0,
u30,3,teacher_absent,DEFER,15,100.0,0.0,0.0,0.15,0,0,0,0,reject_streak
u30,4,extra_class,REJECT,15,100.0,0.0,0.0,0.2,0,0,1,0,reject_streak
u30,5,extra_class,REJECT,15,100.0,0.0,0.0,0.25,0,0,2,0,reject_streak
u30,6,extra_class,DEFER,15,100.0,0.0,0.0,0.225,0,0,0,0,reject_streak
u30,7,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.275,0,0,1,0,reject_streak
u30,8,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.325,0,0,2,0,reject_streak
u30,9,extra_class,DEFER,15,100.0,0.0,0.0,0.2625,0,0,0,0,reject_streak
u30,10,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.3125,0,0,1,0,reject_streak
u30,11,room_clash,REJECT,15,100.0,0.0,0.0,0.3625,0,0,2,0,reject_streak
u30,12,room_clash,DEFER,15,100.0,0.0,0.0,0.2812,0,0,0,0,reject_streak
u30,13,extra_class,REJECT,15,100.0,0.0,0.0,0.3312,0,0,1,0,reject_streak
u30,14,timeslot_shift,REJECT,15,100.0,0.0,0.0,0.3812,0,0,2,0,reject_streak
u30,15,timeslot_shift,DEFER,15,100.0,0.0,0.0,0.2906,0,0,0,0,reject_streak
u30,16,teacher_absent,REJECT,15,100.0,0.0,0.0,0.3406,0,0,1,0,reject_streak
u30,17,teacher_absent,REJECT,15,100.0,0.0,0.0,0.3906,0,0,2,0,reject_streak
u30,18,timeslot_shift,DEFER,15,100.0,0.0,0.0,0.2953,0,0,0,0,reject_streak
u30,19,room_clash,REJECT,15,100.0,0.0,0.0,0.3453,0,0,1,0,reject_streak
u30,20,room_clash,REJECT,15,100.0,0.0,0.0,0.3953,0,0,2,0,reject_streak
